Month (text),GMT,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
Dec-10,13:00,140.8,79.7,220.4,11.8,32.5,23.8,4.7,63.6,54.9,118.6,17.1,23.6,19.6,4
Dec-10,14:00,137.2,80.9,218,10.8,31.9,23.4,4.5,61.7,56.7,118.5,16,23.5,19.1,4
Dec-10,15:00,135.7,83.5,219.2,9.6,31,23.1,4.4,59.8,59.8,119.7,13.2,22.5,19,4
Dec-10,16:00,136,85.6,221.5,8.8,30,23.4,4.4,63.2,63.1,126.3,11.2,22.4,19.1,4
Dec-10,17:00,135.2,84.8,220,8.9,29.4,23.8,4.3,66.2,63.8,130.1,10.9,22.6,19.7,4.1
Dec-10,18:00,133.9,83.3,217.2,9.7,30.1,24,4.3,67.2,63,130.3,11.8,23.5,20.7,4
Dec-10,19:00,126.3,80.7,206.9,9.9,30.1,24.5,4.4,66.5,62.4,128.9,12.3,23.9,21.6,4.1
Dec-10,20:00,108.7,76.6,185.2,9.5,29.5,24.3,4.2,60,60.8,120.9,11.7,24.2,22,4.1
Dec-10,21:00,95,72.2,167.1,9.5,28.8,24.3,4.1,53.5,59,112.5,11.5,23.9,21.6,4.2
Dec-10,22:00,90.4,69.9,160.2,9.9,27.8,24,3.8,48.8,56.7,105.6,11.8,23.5,21.2,4
Dec-10,23:00,80.9,65.7,146.5,10.2,26.4,22.9,3.4,41.9,52.2,94.2,13,22.6,20.6,3.7
Jan-11,00:00,54.5,52.5,106.5,24.2,22.9,17.3,3.3,25.4,38.1,63.6,28.9,20.3,15,3.4
Jan-11,01:00,41.6,45.1,86.2,26.7,20.5,15.7,2.1,19.8,34.4,54.3,32.2,18.1,14.5,3
Jan-11,02:00,29.6,37.3,67,29.8,19.8,15.2,2.3,14.8,29.7,44.6,34.1,17.7,14,2.7
Jan-11,03:00,25.2,34.9,60.2,30.8,19.9,14.6,2.3,11.3,27.4,38.7,35,17.8,13.6,2.9
Jan-11,04:00,27.6,35.9,63.5,30.1,19.8,14.7,2.4,10.7,27.3,38.1,34.5,17.8,13.6,3
Jan-11,05:00,43.3,43.8,87.1,26.1,19.9,14.7,2.7,15.4,31.6,47.1,31.5,17.2,13.3,3.1
Jan-11,06:00,78.9,58.1,137.1,20.5,21.8,16.6,3.3,26.6,40.4,67.1,25.4,17.4,13.6,3.2
Jan-11,07:00,111.8,69.9,181.8,16.9,23.6,17.3,3.9,44,49.7,93.9,20.2,18.2,14.4,3.6
Jan-11,08:00,120.3,73.2,193.5,15.8,25,17.8,4.4,54.8,53,108.1,18.7,19.5,15.1,3.9
Jan-11,09:00,116.2,72.1,188.3,16.6,25.7,18.3,4.3,52.3,51.4,103.8,20.9,19.9,15.2,4
Jan-11,10:00,104.2,68.5,172.7,18.5,25.9,17.3,3.9,42.8,47.2,90.2,24.7,19.6,14.7,3.9
Jan-11,11:00,96.7,65.4,162.2,20.6,27.5,17.5,3.8,37.1,43.9,81.1,28.1,20,14.2,3.9
Jan-11,12:00,96.2,65.6,161.8,21.5,27.5,17.1,3.9,36.4,43.4,79.9,29.3,19.6,14,4
Jan-11,13:00,94.1,66.1,160.3,22.3,27.5,16.8,3.9,35,43.3,78.4,30.3,19.9,13.8,3.8
Jan-11,14:00,88.7,66.7,155.5,22.8,27.4,16.4,4,31.3,44.1,75.4,30.6,19.4,13.4,3.6
Jan-11,15:00,88.3,70.8,159.1,21.2,26.4,16.1,3.8,27.6,46.8,74.5,28,19.4,13.3,3.5
Jan-11,16:00,94,77.3,171.3,17.7,26,17,3.5,30.9,53.1,84.1,22.9,19.1,13.6,3.4
Jan-11,17:00,100.8,80.3,181.2,15.9,26.1,17.9,3.6,37.7,57.1,94.9,20.3,19.6,14.5,3.4
Jan-11,18:00,100.2,79.6,179.9,16,26.4,18.4,3.7,39.3,57.4,96.8,20.1,20.3,15.3,3.5
Jan-11,19:00,90.6,74.3,165,17.5,26.5,18.7,3.5,39.7,55.6,95.4,21.3,21.4,16.2,3.5
Jan-11,20:00,78.4,67.9,146.4,19.3,26,18.4,3.3,37.8,52.4,90.4,22.8,21.4,17,3.5
Jan-11,21:00,69.3,62.9,132.3,20.4,24.8,18.3,3.1,35.1,49.6,84.8,23.8,20.9,16.8,3.5
Jan-11,22:00,65.1,59.5,124.7,21.7,24.3,17.9,3.1,32.5,46.3,79,25.2,20.7,16.2,3.4
Jan-11,23:00,59.8,55.8,115.6,22.8,23.6,17.6,2.9,27.4,41.8,69.3,26.9,20.4,16,3.3
Feb-11,00:00,43.3,48.2,89.8,25.6,28.7,23.2,2.9,11.5,34.4,45.6,33.3,25.6,20.2,1.9
Feb-11,01:00,34.3,41.1,73.4,28.2,27.6,22.9,1.7,9.1,30.1,38.8,35.9,25.2,19.6,1.3
Feb-11,02:00,23.8,34.2,58.1,31.3,26.8,22.4,1.8,8.4,26.6,34.6,37.4,24.7,19.8,1.9
Feb-11,03:00,23.7,32.8,56.5,31.8,26.5,22.6,1.7,7.8,24.9,32.4,37.8,24.1,19.2,1.7
Feb-11,04:00,27.9,34.2,62.2,30.4,26.4,22.9,1.8,9.5,25.7,34.9,36.5,24.5,19.3,2
Feb-11,05:00,46.8,42.6,89.5,26.4,27.7,23.8,2.1,14.8,31,45.5,32.7,24.9,19.5,2.2
Feb-11,06:00,94.3,60.9,155.3,20.5,31,25.9,2.9,28.2,41.5,69.3,26.9,25.9,19.7,2.2
Feb-11,07:00,134.3,75.3,209.7,17.1,33.4,26.7,3.5,44.5,51,95.1,22.7,27.1,20.3,2.6
Feb-11,08:00,135.6,75.4,211.1,17.5,35,26.3,3.8,52.4,52.8,104.7,23.1,28.5,20.6,2.9
Feb-11,09:00,126.2,72,198.3,19.7,36.1,25.8,3.8,47.3,48.7,95.6,27.2,28.7,21,3
Feb-11,10:00,116.1,68.7,184.9,22.5,36,24.4,3.5,40.2,44.3,84.2,32.2,27.7,20.3,3.1
Feb-11,11:00,104.1,65.5,169.7,24.4,35.9,23.4,3.6,33.6,41,74.3,35.6,27.1,19.4,2.9
Feb-11,12:00,100.1,64.6,164.7,25.7,36.4,23.1,3.6,29.3,38.8,67.9,37.9,26.6,18.6,2.8
Feb-11,13:00,97.9,63.7,161.7,26.6,35.2,22.7,3.4,27.8,37.9,65.4,38.9,25.8,18.1,2.6
Feb-11,14:00,100.6,65.7,166.2,25.5,34.5,22.3,3.4,28.2,39.8,67.7,37.1,25.7,17.8,2.6
Feb-11,15:00,104.1,69.7,173.9,23.1,35.4,23.5,3.4,28.1,42.6,70.3,34,25.8,18.2,2.5
Feb-11,16:00,102.9,73.5,176.5,21,34.9,24,3.3,28.6,46.9,75.2,30.4,26.3,18.7,2.4
Feb-11,17:00,102.8,77.4,180.2,18.9,35.2,25.4,3.1,29.4,51.8,80.7,25.7,26.4,19.6,2.2
Feb-11,18:00,105.2,79.2,184.6,17,35.5,26.6,3.3,31.3,54.7,85.5,23.4,27.4,20.8,2.4
Feb-11,19:00,90.9,73.4,164.4,18.6,35.9,27,3.1,30.4,52.6,82.6,24.9,29.1,21.8,2.4
Feb-11,20:00,71,64.8,135.8,20.9,34.6,26.5,2.8,25.7,48.5,73.7,27.2,28.9,22.2,2.2
Feb-11,21:00,58.3,58.6,116.9,22.6,32.5,25.3,2.4,20.8,44.7,65.1,28.7,27.8,21.6,2.2
Feb-11,22:00,54.5,55.7,110.3,23.6,30.9,24.2,2.3,18.3,41.6,59.5,30.2,26.9,20.8,2.2
Feb-11,23:00,47.9,51.4,99.4,24.9,29.6,23.2,2.2,13.7,36.7,50.1,32.5,26,20,2.1
Mar-11,00:00,76,64,138.4,20.9,42,34.1,3.4,34.9,51.2,86.1,27.4,37,32.1,3.5
Mar-11,01:00,66.3,56.5,121.2,23,40.2,32.7,2.4,31.7,45.6,77.4,29.1,36.3,31.2,3
Mar-11,02:00,49.3,47.5,96.8,24.9,37.9,31.4,2.2,26.9,40.5,67.5,30.1,34.7,30.3,2.9
Mar-11,03:00,49,45.6,94.6,25.3,36.7,30.5,2.1,25.4,38.2,63.6,30.4,33.3,29.2,2.9
Mar-11,04:00,59.2,47.4,106.6,24.3,36.4,30.6,2.3,29.8,38.7,68.6,29.4,32.6,28.5,3
Mar-11,05:00,89.7,56.5,146.2,20.8,38.5,32.2,2.7,43.2,44,87.2,26.3,33.5,28.1,3.4
Mar-11,06:00,143.9,73.6,217.6,16.5,42.6,34.8,3.8,66.3,52.9,119.2,22.7,36.2,28.8,4
Mar-11,07:00,177.9,85.4,263.3,14.4,46.7,35.8,4.6,83.6,60.7,144.4,20.9,38.4,30.1,4.7
Mar-11,08:00,169.8,84.6,254.5,15.7,50,36.4,5.3,79.4,61.5,140.9,23.3,41,31.6,5.3
Mar-11,09:00,152.8,81.1,234,18.8,52.1,35.7,5.5,66.8,57.5,124.3,27.7,43.4,32.8,5.9
Mar-11,10:00,126.7,74.8,201.5,22.7,50.5,34.1,5.4,48.9,51,99.8,33.8,42.6,32.2,5.8
Mar-11,11:00,106.2,69.4,175.8,26.2,47.9,32.5,5.1,33.7,44.8,78.5,40.5,40.4,30.1,5.5
Mar-11,12:00,94.8,66.1,160.9,29.3,46,31.5,4.8,25,40.2,65.2,45.7,37.5,30.1,5.1
Mar-11,13:00,87.6,65.1,152.7,31.2,44.5,30.6,4.7,21.7,38.7,60.5,48.4,36.4,28.6,5
Mar-11,14:00,84.3,65.3,149.7,32.6,43.6,29.8,4.9,19.4,38.7,58.1,49.9,36,27.5,4.7
Mar-11,15:00,82.8,67.8,150.7,32.8,43,29.2,4.7,18.4,40.3,58.7,49.8,35.3,26.8,4.5
Mar-11,16:00,81,70.9,151.9,31.4,41.7,29.1,4.3,17.4,43.9,61.4,46.7,34.7,27.1,4
Mar-11,17:00,83.6,77,160.7,26.8,41.4,29.6,3.9,17.6,50.5,68.1,39.6,34.5,26.8,3.8
Mar-11,18:00,88.4,83.1,171.6,21,42.2,30.9,3.5,22.6,59.2,81.9,30.8,35.2,27.9,3.7
Mar-11,19:00,87.8,83.5,171.3,18.2,43.4,32.5,3.3,28.5,63.4,91.8,25.7,36.9,29.7,3.8
Mar-11,20:00,80.8,78.2,159.1,18.7,43.1,33.6,3.3,30.7,62,92.7,25.1,37.7,31.2,3.7
Mar-11,21:00,77.3,73.4,150.8,19.3,43,34.5,3,33.7,59.2,92.9,25.4,37.9,32.1,3.6
Mar-11,22:00,79.1,71.2,150.3,19,43.8,35.3,3,36.9,57.1,94,25.2,37.5,32.6,3.5
Mar-11,23:00,77.6,67.2,144.9,19.3,42.6,34.6,2.9,34.9,52.8,87.8,26,37.3,32.3,3.5
Apr-11,00:00,35.6,55.7,91.4,32.8,37.6,31.1,3.2,12.4,43,55.4,40.6,35.8,28.4,4.2
Apr-11,01:00,33.3,50.6,81.9,33.5,36.8,31,1.9,11.1,39.7,50.8,40.5,34.7,28.4,3.8
Apr-11,02:00,28.9,46.1,75.1,33,36.3,31.1,1.9,9.7,36.6,46.2,39.4,34.1,28.6,3.4
Apr-11,03:00,34.1,46.6,80.8,31,36.8,31.4,2.2,10.7,35.5,46.2,37.8,34.3,29.1,3.7
Apr-11,04:00,52.3,53.1,105.5,26.5,37.8,32.4,2.4,17,38.3,55.3,33.4,34.4,29.3,4
Apr-11,05:00,96,68,164,20.4,41.5,34.4,3.1,29.9,45.8,75.7,27.7,35.3,29.5,4.3
Apr-11,06:00,126.2,77.6,203.6,18.7,46.1,35.5,3.8,41.8,51.7,93.5,26.8,38.8,31.1,5
Apr-11,07:00,118.2,75.8,194,22.5,49,36.5,4.4,44.4,51.9,96.3,31.5,42.2,33.4,5.9
Apr-11,08:00,112.6,74.4,187,26.3,50.1,35.6,4.6,38.6,49.2,87.8,38.1,43.1,33,6.4
Apr-11,09:00,97.3,70.5,167.8,32,47.6,32.5,4.5,29.3,43.9,73.2,47.2,41.1,30.4,6.4
Apr-11,10:00,82.7,66,148.7,39,44,28.4,4.3,21.5,38.1,59.6,57,38,26.5,5.8
Apr-11,11:00,71,61.2,132.3,46.4,41,24.1,3.8,15.3,32.5,47.7,67.3,34.7,23.5,5.3
Apr-11,12:00,65.9,59.4,125.4,52.2,38.8,22.3,3.3,12.1,28.7,40.8,75.7,32.4,21.3,4.5
Apr-11,13:00,62,58.7,120.8,56.2,36.9,21.6,3.1,10.2,26.9,37.1,80.4,31,20.2,4
Apr-11,14:00,58.5,58.9,117.5,57.7,36.6,21.1,2.9,10,27.5,37.4,81.9,30.1,20.1,3.7
Apr-11,15:00,56.9,60,116.9,58.1,35,20.6,2.9,9.6,28.8,38.4,82.2,29.4,20.1,3.8
Apr-11,16:00,56.4,62.5,118.9,57.5,34.1,21.1,2.8,9.3,30.7,40,80.6,28.6,19.5,3.7
Apr-11,17:00,56.7,65.7,122.3,54.9,33.5,21.5,2.8,8.5,33.8,42.3,76.5,28,19.1,3.7
Apr-11,18:00,54.1,69.1,123.3,49.9,33.9,22.7,2.7,8,39.7,47.7,69,28.6,19.9,3.8
Apr-11,19:00,50.9,70.6,121.5,43.1,35,24.5,2.7,9.3,46.5,55.7,58.1,30.1,21.3,3.8
Apr-11,20:00,50.6,71.1,121.6,37.4,36.9,27.1,3,12.3,50.9,63.2,49.7,32.4,23.5,4.1
Apr-11,21:00,53.9,71.2,125.1,33.7,38.4,29.6,3.1,16,52.7,68.7,43.8,33.8,25.2,4.4
Apr-11,22:00,50.2,67.4,117.6,32.6,39.1,30.2,2.9,15.4,50.4,65.7,41.9,34.9,26.5,4.3
Apr-11,23:00,41.8,61.3,103.1,33.5,38.9,31.1,2.7,13.6,46.5,60,41.6,35,27.8,4.1
May-11,00:00,23.3,41.7,65,42.2,21.7,13.3,2.6,3.1,25.3,28.4,52.6,18.9,12,3.2
May-11,01:00,19.6,35.7,53.7,43.1,20.5,12.7,1.6,2.8,23.4,26.2,52.3,18,11.7,2.8
May-11,02:00,17,32.1,49,42.2,19.5,12.4,1.7,2.6,21.7,24.3,50,17.4,11.4,2.6
May-11,03:00,22.7,34.2,56.9,38.8,19.5,12,1.8,4.1,22.3,26.4,46.8,16.9,11,2.8
May-11,04:00,39,42.3,81.3,32.6,20.6,13,2.1,8.8,26.8,35.6,41.3,17.6,11.4,3
May-11,05:00,73,54.9,127.9,27.6,23.8,15.1,2.6,17.8,33.1,50.9,38,18.5,12.1,3.4
May-11,06:00,87.6,61.2,148.8,28.2,26.2,15.1,3.1,21.9,35.1,57,39.9,20,12.4,3.9
May-11,07:00,81.5,57.9,139.3,31.4,27.7,14.7,3.1,21.1,32.8,53.9,45.6,21.9,12.3,4
May-11,08:00,73.8,54.1,127.8,36.4,27.9,13.5,3.2,16.9,28,44.9,52.6,22.1,11.7,4.1
May-11,09:00,68.6,51.9,120.5,40.4,26.2,12.8,2.9,14.5,24.4,38.9,58.1,20.5,11.1,3.9
May-11,10:00,65.7,51.3,117.1,42.9,25.9,12.6,2.7,13.3,23.3,36.5,62.1,20.3,10.9,3.8
May-11,11:00,63.9,50.3,114.2,45.5,26.3,12.8,2.6,12.9,22,34.9,65.8,21.1,11.1,3.5
May-11,12:00,60.2,49.4,109.6,48.3,26.1,12.8,2.5,11.5,21,32.5,69.4,20.6,11.2,3.4
May-11,13:00,57.4,48.6,105.9,50.4,26.3,12.6,2.4,10.7,20.5,31.3,71.6,20.9,10.9,3.2
May-11,14:00,57.6,50.5,108.1,51.6,26,12.8,2.4,10,20.8,30.8,72.8,20.3,11,3
May-11,15:00,55.1,51.4,106.5,52.2,25.2,12.4,2.3,9.2,21.6,30.8,72.6,19.7,10.5,3.1
May-11,16:00,54.3,52.9,107.2,51.4,23.7,12.7,2.4,8.7,23,31.7,71.5,19,10.5,3
May-11,17:00,52.8,54.2,107,50.7,22.9,12.3,2.4,7.7,24.3,32.1,70.2,18,10.6,3
May-11,18:00,47.3,54.2,101.6,49.1,22.9,12.4,2.3,6.9,26.8,33.7,67.3,17.7,10.6,2.9
May-11,19:00,41.2,53.5,94.7,48.1,22.4,12.2,2.2,5.8,29.5,35.3,62.9,17.8,10.8,2.9
May-11,20:00,38.4,53.4,91.8,43.7,22,12.8,2.2,5.8,31.5,37.4,57.6,17.8,11.1,2.9
May-11,21:00,37.1,52.8,89.9,41.1,21.8,13.2,2.3,6.7,32.6,39.3,53.8,18,11.6,2.9
May-11,22:00,35.5,51,86.5,39.5,21.7,13.3,2.2,5.2,31.3,36.5,52.1,17.8,11.7,2.9
May-11,23:00,31.1,47,78.1,39.1,21.8,13.4,2.2,4,28.8,32.8,51,18.1,11.9,3
Jun-11,00:00,24,40.5,70.7,27.4,18.1,11.4,1.9,6.1,25.3,31.4,34.2,15.7,11,2.8
Jun-11,01:00,21.3,34.6,58.7,28.7,16.8,10.4,1.4,5,21.6,26.6,35.9,14.7,10.1,2.3
Jun-11,02:00,18.7,31,54.3,29.2,16.6,10.7,1.5,4.7,19.9,24.6,34.7,14.6,9.9,2
Jun-11,03:00,23.3,32.9,62.8,26.4,16.7,10.6,1.6,6.1,20.5,26.6,32.4,15,9.9,2.2
Jun-11,04:00,36.4,39.6,88.5,22.4,18.1,10.5,1.8,10.8,23.2,34,29.9,14.6,9.7,2.4
Jun-11,05:00,60.5,50.4,130.9,19.7,20.9,12.5,2.3,17.7,27.1,44.7,28.8,14.9,10.2,2.7
Jun-11,06:00,73,57.4,155,20.3,22.8,13.1,2.8,22,29.5,51.5,30.4,16,10.8,3
Jun-11,07:00,70.3,56.5,149.7,22.7,23.4,13.2,3,22.9,29.2,52.2,34.1,16.9,11.1,3.2
Jun-11,08:00,65.9,54.9,141.3,25.8,23.4,13.1,2.9,20.4,26.9,47.3,39.6,16.9,10.9,3.4
Jun-11,09:00,62.4,53.9,135.8,28.6,22.6,12.9,2.7,17.2,24.4,41.6,45.2,17,10.9,3.3
Jun-11,10:00,59.4,54,132.4,32.2,22.9,12.6,2.6,15.8,23.5,39.3,49.5,17.2,11,3.3
Jun-11,11:00,58.1,54.4,131.3,34.9,22.9,12.8,2.7,14.9,22.9,37.8,53.9,16.4,10.7,3.1
Jun-11,12:00,56.5,54.1,128.7,36.8,23.3,12.1,2.9,13.9,22.3,36.2,56.9,16,10.6,3.1
Jun-11,13:00,54.2,53.8,125.2,38.7,22,12.2,2.7,14.3,21.8,36.1,59,15.8,10.6,3.1
Jun-11,14:00,53,54.5,124.2,39.9,22.1,12.1,2.6,13.6,22.4,35.9,60,15.5,10.3,3.1
Jun-11,15:00,52,55.5,124.1,39.6,21.7,12,2.4,12.6,23.2,35.8,58.7,15.3,9.9,2.9
Jun-11,16:00,50.7,56.2,123.6,38.8,21.6,12.1,2.3,11.5,24.3,35.9,56.4,15.6,10,2.8
Jun-11,17:00,48.2,55.9,119.8,37.5,21.1,12.1,2.2,10.9,25.5,36.3,53.8,15.1,10.3,2.6
Jun-11,18:00,44.4,54.9,113.1,36.1,20.1,12,2.1,9.3,26.6,35.9,50.6,15,10.5,2.6
Jun-11,19:00,39.2,52.3,103.1,34,19.6,11.6,1.9,8.5,28.1,36.7,46.4,14.8,10.6,2.6
Jun-11,20:00,36.6,52,99.3,30.4,19.1,11.6,1.9,8.4,30.1,38.6,40.7,15,10.4,2.6
Jun-11,21:00,38.3,54.2,104.8,26.6,20.4,12.1,1.9,9.9,33.2,43.2,35.4,16.7,10.7,2.7
Jun-11,22:00,36.4,52.5,100.8,24.5,20.5,12.6,1.9,9,32.3,41.3,33.2,16.7,11.4,2.7
Jun-11,23:00,30.2,46.4,86.7,25.4,19.6,12.1,1.8,6.9,28.5,35.5,34,16.2,11.4,2.5
Jul-11,00:00,31.2,42.7,73.9,28.9,19.1,12.1,2.9,6.4,27.1,33.5,36.2,16.6,11.9,2.6
Jul-11,01:00,25.7,36.8,61.6,29.1,18.6,11.9,1.6,5.1,24.3,29.4,36.6,16.6,11.8,1.8
Jul-11,02:00,21.5,32.2,53.6,29.7,17.5,11.6,1.7,4.9,21.6,26.4,35.6,15.8,11.5,2
Jul-11,03:00,27.1,33.6,60.7,27.6,17.3,11.4,1.8,5.9,21.5,27.4,33.6,15.4,11.4,2.2
Jul-11,04:00,46.6,41.3,87.9,23.2,18.3,11.9,2.1,10.7,24.9,35.5,29.6,15.5,11.3,2.4
Jul-11,05:00,77.8,51.5,129.3,19.7,20.9,13.3,2.7,17.4,28.6,46,27.6,16.2,11.6,2.8
Jul-11,06:00,96,57.6,153.6,19.8,23.2,13.5,3.2,21.3,30.2,51.5,29.1,16.8,11.9,3.3
Jul-11,07:00,92.7,55.9,148.7,22.7,23.3,13.5,3.3,23,29.6,52.6,32.9,17.5,11.9,3.5
Jul-11,08:00,90.1,55.2,145.3,25.9,23.2,13.1,3.4,21.4,27.4,48.8,38.4,17.4,11.4,3.5
Jul-11,09:00,82.6,53.6,136.2,30.6,22.2,12.8,3.1,18,24.2,42.2,45.7,17,11,3.3
Jul-11,10:00,78.2,53,131.2,34.8,22,12.4,2.9,15.5,22,37.5,52.3,16.9,11,2.9
Jul-11,11:00,75.6,53.5,129.1,37.8,21.5,12.1,2.9,13.9,21.1,34.9,57,16.5,10.9,2.8
Jul-11,12:00,74.5,54.7,129.2,40,22,12.3,2.8,12.5,20.5,33,60.5,16.6,10.8,2.7
Jul-11,13:00,72.5,55.4,127.9,42.3,22,12.8,2.7,12.3,20.9,33.1,63.2,16.8,10.9,2.5
Jul-11,14:00,69.4,55.9,125.3,43.9,22.2,12.6,2.6,11.5,21.6,33.1,65.2,16.8,10.8,2.4
Jul-11,15:00,66.2,56.6,122.9,45.3,22.2,12.9,2.5,10.8,22.5,33.2,65.3,17,11.4,2.4
Jul-11,16:00,67,58.7,125.7,44.5,21.8,12.9,2.5,10.4,23.8,34.3,63.5,16.6,11.6,2.3
Jul-11,17:00,65,58.6,123.6,42.6,21,12.6,2.5,9.4,24.7,34.1,61.3,16.2,11.2,2.3
Jul-11,18:00,61.2,58.4,119.6,41.1,20.8,12.8,2.5,8.4,26.3,34.8,57.6,16.1,11.4,2.2
Jul-11,19:00,54.7,57.4,112.1,38.2,21.3,13.4,2.5,7.7,29.5,37.2,51.9,17.1,11.7,2.2
Jul-11,20:00,48.5,56.1,104.5,33.5,21.5,13.7,2.4,8.1,32.9,41,44.9,17.7,12.2,2.4
Jul-11,21:00,48.2,55.7,103.9,30.3,21.7,14.5,2.4,9.1,34.1,43.2,40.2,17.8,12.6,2.4
Jul-11,22:00,47,53.3,100.2,28.4,21.1,14.1,2.3,8.7,32.7,41.4,37.9,17.5,12.6,2.5
Jul-11,23:00,40.6,48.2,88.8,28.2,20.2,12.6,2.2,7.6,29.9,37.6,37,17.1,12.3,2.2
Aug-11,00:00,34,34.4,75.5,21.7,17,10.9,2.5,7.3,19.7,26.2,23.2,11.2,10.4,3.5
Aug-11,01:00,28,29.9,64.2,22.4,16.5,10.2,2.2,6.4,18,24.7,23.2,11.1,10.3,2.9
Aug-11,02:00,25,26.6,57.4,22.5,16.1,10.2,2.2,6.3,16.6,23.2,22.3,10.9,10.5,2.6
Aug-11,03:00,31.5,27.7,65.4,20.2,16.6,10.9,2.2,7.3,16.7,24.3,21,11.1,10.1,2.9
Aug-11,04:00,52.2,33.3,93.2,16.8,17.9,11.4,2.5,11.3,19,29.8,18.5,11.3,10.4,3.1
Aug-11,05:00,94.4,43.3,148,12.4,21.4,13.8,3.1,20.3,23.1,40.9,15.1,12,10.9,3.3
Aug-11,06:00,125,50.2,187.3,11.5,24.2,14.1,3.5,28.4,25.6,49.6,14.3,12.9,11.6,3.6
Aug-11,07:00,124,50.1,185.7,13.3,24.7,13.8,3.8,31.2,25.5,50.9,16.2,14.4,11.8,3.9
Aug-11,08:00,114.3,48.5,173.5,16.1,24.8,13.4,3.7,28.1,23.6,46.7,19.3,14.6,11.4,3.9
Aug-11,09:00,105.9,47.1,163.4,19.1,22.8,12.7,3.5,23.1,21.3,38.4,24.1,13.2,10.8,3.7
Aug-11,10:00,96.5,45.8,152.3,23.4,22.5,12.3,3.4,19,19.7,31.6,28.7,12.7,10.2,3.5
Aug-11,11:00,92.9,44.8,147.9,26.8,22.4,11.6,3.4,16.9,18.9,28.1,32.8,12.4,10,3.4
Aug-11,12:00,85.7,43.3,139.3,30.3,21.2,11,3.3,14.4,17.3,25.6,36.9,11.7,10,3.2
Aug-11,13:00,82.7,43.9,136.9,31.8,21.3,10.8,3.2,13.2,17.1,25.3,39.3,12.1,9.6,2.9
Aug-11,14:00,79.7,44.3,134.7,32.6,20.7,10.8,3.1,12.2,16.8,25,40.7,11.7,9.1,2.9
Aug-11,15:00,76,45.1,131.9,33.4,20.4,11.8,3.1,11.2,17.1,25.2,41.3,11.5,9.4,2.9
Aug-11,16:00,75.5,47.2,133.6,32.8,20.1,12,3.2,10.4,18.9,25.9,40.7,11.4,9.7,3
Aug-11,17:00,73.7,48.2,132.8,31.3,19.9,11.3,3.1,10,21.2,26.9,38.6,11.4,9.7,2.9
Aug-11,18:00,68.6,47.7,126.7,29.1,20,11.4,2.8,9.9,24.2,29.1,34.2,11.6,9.9,2.9
Aug-11,19:00,60.3,45.5,116.2,26,20.3,11.5,2.6,9.9,26.4,31.7,29.7,11.9,10.1,3
Aug-11,20:00,54.7,43.1,107.9,23.3,20.2,12.7,2.7,10.8,26.5,33.1,26,12.3,10.7,3.1
Aug-11,21:00,56.3,42.8,109,20.9,20.3,12.8,2.7,12.2,26.6,34.9,22.6,12.1,11,3.1
Aug-11,22:00,52.9,41.3,103.5,19.4,20.2,12,2.6,11.4,25.6,33.6,20.8,12.2,10.8,3.2
Aug-11,23:00,44.7,38.3,91.3,19.2,18.9,11.3,2.4,9.9,23.6,30.2,20.9,11.7,10.7,3.2
Sep-11,00:00,45.8,42.8,88.7,22.3,23.8,14.1,1.7,14.1,28,42.3,28.6,20,13.7,4.1
Sep-11,01:00,39.6,37,76.6,23.3,22.6,13.8,1.2,14,24.9,39,29.9,19.8,13.2,3
Sep-11,02:00,35.9,32.2,68.1,25.2,22.1,13,1.2,14.3,22.6,36.8,30.1,19.6,12.9,3.3
Sep-11,03:00,42.2,33.1,75.3,24.1,21.8,12.9,1.1,15.6,22.1,37.7,28.9,18.7,12.5,3.4
Sep-11,04:00,65.9,39.7,105.6,20.3,22.5,14.7,1.4,22.4,24.8,47.3,25.6,18.3,12.4,3.6
Sep-11,05:00,118,53.7,171.7,15.3,26.3,17.2,2.2,38.1,31.6,69.7,21.1,19.4,13.1,3.8
Sep-11,06:00,166.4,66,232.5,13.3,30.3,18.1,2.8,59.2,38.1,97.2,19.1,21.6,13.9,4.3
Sep-11,07:00,167.2,67.6,234.8,13.8,32.9,18.6,3.1,63.3,40.4,103.8,20,25.2,15.7,4.7
Sep-11,08:00,146,65,211,16.4,33.9,17.7,3,47.9,38.5,86.3,24.4,25.3,16.3,4.5
Sep-11,09:00,121.3,60.3,181.6,20.6,30.4,15.4,2.8,32,33.5,65.5,31.1,23.7,15.2,4.3
Sep-11,10:00,102.5,57,159.5,25,28,14.3,2.8,21.7,28.7,50.4,38.3,21.3,12.7,4.3
Sep-11,11:00,92.8,55,147.9,29.7,26.3,13.1,2.7,16.6,25.4,41.9,45,19.5,11.6,4
